OFF FORM,3 ST,3ST,5 ST,5ST,BUCK SWEEP,BUCK SWEEP BOOT,CTR,CTR RD,FLEA FLICKER,G POWER,INF TRAP,IZ,IZ 3,IZ RD,JET RD,JET SWEEP,JET SWEEP REVERSE,NAKED BOOT,NO PLAY,OZ,PA 3 ST,PA 5 ST,PA POWER,POWER,POWER 3,POWER BOOT,POWER RD,PULL BOOT,QB BUCK SWEEP,QB COUNTER,QB DBL POWER,QB DRAW,QB LONG TRAP,QB POWER,QB POWER RPO,QB T WRAP,QB THROWBACK,RB SCREEN,RB SCREEN STR,RB SCREEN WK,S TUNNEL,SPLIT IZ,SPLIT ZONE,SPOT SCREEN,SPRINT,SPRINT DRAW,SPRINT THROWBACK,T WRAP,TRAP,TRAP OPTION,VEGAS,WING CTR,X TUNNEL
ACES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0
KINGS OPEN,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
MICKEY MOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRO SOFTER T OVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PRO WING,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUADS,1,12,0,38,0,0,0,0,0,0,0,0,2,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
QUEENS OPEN,1,10,2,6,0,0,2,2,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,2,2,18,2,0,0,0,0,4,0,0,0,0,4,3,0,2,0,0,0,0,0
SPREAD,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPREAD BONE T OVER,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
TERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TWINS OPEN HARD,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,10,0,5,4,1,0,0,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWINS OPEN HARDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0
TWINS OPEN SOFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWINS OPEN SOFTER,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TWINS TITE SOFTER,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNBALANCED SLOT,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
