PERSONNEL,OFF FORM,BACK SET,6FSW,6SLS,6SLW,7SLW,BUCK AWAY,G PULL,PULL,PULL AWAY,REACH
10,QUADS,STRONG,1,2,8,0,0,0,0,0,0
10,QUADS,WEAK,1,13,0,0,0,0,0,0,0
10,QUEENS OPEN,STRONG,0,1,7,0,0,0,0,0,1
10,QUEENS OPEN,WEAK,0,1,0,0,0,0,0,0,0
20,TWINS OPEN HARD,PISTOL,0,0,0,2,0,0,0,0,0
20,TWINS OPEN HARD,STRONG,0,0,0,3,0,0,2,0,0
20,TWINS OPEN HARD,WEAK,0,0,1,0,0,1,2,0,0
20,TWINS OPEN HARDER,STRONG,0,0,0,0,0,0,0,0,1
20,TWINS OPEN SOFT,STRONG,0,0,0,0,0,5,0,0,0
21,PRO SOFTER T OVER,STRONG,0,0,0,0,0,0,0,0,1
21,TWINS TITE SOFTER,STRONG,0,0,0,0,1,0,0,0,0
32,UNBALANCED SLOT,FAR,0,0,0,0,0,0,0,1,0
